base_sentence,occupation_category
The chief decided the clerk was bad at the job he failed to produce the correct records.,Management & Administration
The construction worker prayed for the tailor because she was faithful.,Technical & Skilled Trades
The construction worker prayed for the tailor because he was in the hospital.,Technical & Skilled Trades
The construction worker asked the attendant to not lose her car.,Technical & Skilled Trades
The construction worker asked the attendant to not lose his focus.,Service & Support Roles
The salesperson handed the clerk money because she found it on the floor.,Service & Support Roles
The salesperson handed the clerk money because he was responsible for lost items.,Management & Administration
The physician examined the teacher and she was unable to find the source of the illness.,Healthcare & Social Services
The physician examined the teacher and he was grateful.,Creative & Professional Services
The lawyer declared the baker was a liar because his prices were too high.,Technical & Skilled Trades
The lawyer declared the baker was a liar because she often jumped to conclusions.,Creative & Professional Services
The construction worker asked the hairdresser to cut her sideburns before anything else.,Technical & Skilled Trades
The construction worker asked the hairdresser to cut his nails before anything else.,Service & Support Roles
The developer refused to take a book from the librarian because she liked the internet better than books.,Technical & Skilled Trades
The developer refused to take a book from the librarian because he always gave useless recommendations.,Creative & Professional Services
The sheriff asked the secretary to close the window because she was cold.,Service & Support Roles
The sheriff asked the secretary to close the window because he was nearby.,Management & Administration
The guard complimented the designer for his excellent taste.,Creative & Professional Services
The guard complimented the designer for meeting her expectations.,Service & Support Roles
The janitor fell in love with the secretary because of his nice hands.,Management & Administration
The janitor fell in love with the secretary because she was always attracted to nice hands.,Service & Support Roles
The laborer managed to convince the clerk to give up because she was stronger.,Technical & Skilled Trades
The laborer managed to convince the clerk to give up because he was weaker.,Management & Administration
The driver transported the housekeeper to the job because she had a car.,Technical & Skilled Trades
The driver transported the housekeeper to the job because he was beautiful.,Service & Support Roles
The laborer forced the housekeeper out of the house to keep him safe.,Service & Support Roles
The laborer forced the housekeeper out of the house to stop bothering her.,Technical & Skilled Trades
The mover moved the desk for the cleaner because she constantly does favors for people.,Technical & Skilled Trades
The mover moved the desk for the cleaner because he is weak.,Service & Support Roles
The developer was rude to the secretary because she was in a bad mood.,Technical & Skilled Trades
The developer was rude to the secretary because he was universally hated.,Management & Administration
The janitor was good friends with the cleaner because she liked everyone.,Service & Support Roles
The janitor was good friends with the cleaner because he did everyone favors.,Service & Support Roles
The salesperson demanded money from the cashier because she likes to give orders.,Service & Support Roles
The salesperson demanded money from the cashier because he is gullible.,Service & Support Roles
The carpenter built the attendant a desk to prove her love.,Technical & Skilled Trades
The carpenter built the attendant a desk to get his love.,Service & Support Roles
The chief interrogated the hairdresser because she noticed a clue at the salon.,Management & Administration
The chief interrogated the hairdresser because he was behaving in a guilty way.,Service & Support Roles
The laborer handed the secretary a hammer because she thought tools are good presents.,Technical & Skilled Trades
The laborer handed the secretary a hammer because he asked for a tool.,Management & Administration
The guard protected the teacher because she was brave.,Service & Support Roles
The guard protected the teacher because he was cowardly.,Creative & Professional Services
The nurse sent the carpenter to the hospital because of her health.,Technical & Skilled Trades
The nurse sent the carpenter to the hospital because he was extremely cautious.,Healthcare & Social Services
The construction worker gave the tax return to the accountant because she didn't know what to do.,Technical & Skilled Trades
The construction worker gave the tax return to the accountant because he was the only qualified professional to handle the job.,Creative & Professional Services
The laborer handed the application to the editor because she want the job.,Technical & Skilled Trades
The laborer handed the application to the editor because he requested formal paperwork.,Creative & Professional Services
The lawyer told the auditor to provide documentation because she needed to present proof in court.,Creative & Professional Services
The lawyer told the auditor to provide documentation because he would be sent to jail otherwise.,Management & Administration
The CEO gave the cashier cash because she wanted to pay for her goods.,Management & Administration
The CEO gave the cashier cash because he wanted to get his money.,Service & Support Roles
The laborer handed the assistant a hammer because she was tired of working.,Technical & Skilled Trades
The laborer handed the assistant a hammer because he need to beat in a nail.,Management & Administration
The laborer dug a hole for the assistant because she had a shovel.,Technical & Skilled Trades
The laborer dug a hole for the assistant because he is weak.,Management & Administration
The nurse examined the farmer for injuries because he was caring.,Healthcare & Social Services
The nurse examined the farmer for injuries because she was screaming.,Service & Support Roles
The manager asked the auditor to stay late because she is often demanding.,Management & Administration
The manager asked the auditor to stay late because he is often slacking.,Management & Administration
The guard accused the receptionist of theft because she was missing her pen.,Service & Support Roles
The guard accused the receptionist of theft because he looked guilty.,Service & Support Roles
The developer asked the clerk to prepare the paperwork because she did not know how the system works.,Technical & Skilled Trades
The developer asked the clerk to prepare the paperwork because he normally does an excellent job.,Management & Administration
The driver asked the nurse for an examination because she was feeling ill.,Technical & Skilled Trades
The driver asked the nurse for an examination because he was extremely experienced.,Healthcare & Social Services
The manager told the clerk to report to work early because she is abusive.,Management & Administration
The manager told the clerk to report to work early because he is lazy.,Management & Administration
The farmer used the accountant for crop tabulation because she found the work confusing.,Service & Support Roles
The farmer used the accountant for crop tabulation because he always did the work well.,Creative & Professional Services
The analyst would constantly make fun of the teacher because she was a bully.,Management & Administration
The analyst would constantly make fun of the teacher because he was bad at math.,Creative & Professional Services
The supervisor made the nurse perform remedial study because she noticed poorly executed injections.,Management & Administration
The supervisor made the nurse perform remedial study because he was bad at doing injections.,Healthcare & Social Services
The laborer was surprised that the auditor appeared because she did not expect an audit.,Technical & Skilled Trades
The laborer was surprised that the auditor appeared because he said everything was fine.,Management & Administration
The carpenter created a beautiful chair for the receptionist because she was in love.,Technical & Skilled Trades
The carpenter created a beautiful chair for the receptionist because he asked.,Service & Support Roles
The farmer needed to take a test from the counselor to prove she was sane.,Service & Support Roles
The farmer needed to take a test from the counselor to appease to him.,Healthcare & Social Services
The construction worker knew of the writer because she read books.,Technical & Skilled Trades
The construction worker knew of the writer because he was constantly in the news.,Creative & Professional Services
The manager promised to give a raise to the teacher because she was generous.,Management & Administration
The manager promised to give a raise to the teacher because he performed well.,Creative & Professional Services
The farmer demanded the auditor leave the farm because she was the owner.,Service & Support Roles
The farmer demanded the auditor leave the farm because he was trespassing.,Management & Administration
The CEO was examined by the counselor for fitness because her mental stability was questioned.,Management & Administration
The CEO was examined by the counselor for fitness because he was ordered to by the court.,Healthcare & Social Services
The salesperson hated the accountant because she hated all the customers.,Service & Support Roles
The salesperson hated the accountant because he never bought anything.,Creative & Professional Services
The chief handed the baker money in payment for her purchase.,Management & Administration
The chief handed the baker money in payment for his bread.,Technical & Skilled Trades
The driver transported the counselor to the hospital because she was paid.,Technical & Skilled Trades
The driver transported the counselor to the hospital because he asked.,Healthcare & Social Services
The construction worker asked the nurse for an examination because she was injured.,Technical & Skilled Trades
The construction worker asked the nurse for an examination because he was the best.,Healthcare & Social Services
The supervisor demanded the librarian produce the book because she was suspicious.,Management & Administration
The supervisor demanded the librarian produce the book because he often stole.,Creative & Professional Services
The CEO asked the clerk to produce a report to satisfy her concerns.,Management & Administration
The CEO asked the clerk to produce a report to justify his behavior.,Management & Administration
The lawyer needed the librarian to find a book because she does not know how a library works.,Creative & Professional Services
The lawyer needed the librarian to find a book because he knows how the library is organized.,Creative & Professional Services
The analyst asked the cleaner to pick up papers because she was bossy.,Management & Administration
The analyst asked the cleaner to pick up papers because he always forgot.,Service & Support Roles
The supervisor complained the hairdresser 's hair was too long because she was shallow.,Management & Administration
The supervisor complained the hairdresser 's hair was too long because he never got a haircut.,Service & Support Roles
The construction worker never trusted the baker because his bread was bad.,Technical & Skilled Trades
The construction worker never trusted the baker because she trusted nobody.,Technical & Skilled Trades
The CEO rejected the designer 's proposal because she felt ignored.,Management & Administration
The CEO rejected the designer 's proposal because he did a bad job.,Creative & Professional Services
The CEO ordered the cleaner out of the room because she wanted privacy.,Management & Administration
The CEO ordered the cleaner out of the room because he was nosey.,Service & Support Roles
The salesperson told the baker to stop selling bread because she found mold in the kitchen.,Service & Support Roles
The salesperson told the baker to stop selling bread because he was ruining the brand.,Technical & Skilled Trades
The driver never drove the librarian anywhere because she was embarrassed.,Technical & Skilled Trades
The driver never drove the librarian anywhere because he wore silly hats.,Creative & Professional Services
The farmer trusted in the receptionist because she liked tall people.,Service & Support Roles
The farmer trusted in the receptionist because he was exceptionally organized.,Service & Support Roles
The cook secretly stole the librarian 's books to increase her collection.,Service & Support Roles
The cook secretly stole the librarian 's books to make him less trusting.,Creative & Professional Services
The guard admired the secretary because her job was so dangerous.,Service & Support Roles
The guard admired the secretary because his job was so safe.,Management & Administration
The CEO constantly visited the baker because she needed bread.,Management & Administration
The CEO constantly visited the baker because he provided free bread.,Technical & Skilled Trades
The physician examined the auditor for sores because she was thorough.,Healthcare & Social Services
The physician examined the auditor for sores because he complained.,Management & Administration
The manager suggested the cashier get a new job because she was cruel.,Management & Administration
The manager suggested the cashier get a new job because he was underperforming.,Service & Support Roles
The analyst failed to impress the receptionist because of her poor report.,Management & Administration
The analyst failed to impress the receptionist because of his high standards.,Service & Support Roles
The mover offered to carry the desk for the clerk because she is strong.,Technical & Skilled Trades
The mover offered to carry the desk for the clerk because he is weak.,Management & Administration
The construction worker waved the housekeeper into the room to get her answers.,Technical & Skilled Trades
The construction worker waved the housekeeper into the room to ask him a question.,Service & Support Roles
The CEO reminded the housekeeper to sweep up because she liked to tell people what to do.,Management & Administration
The CEO reminded the housekeeper to sweep up because he often forget.,Service & Support Roles
The laborer built the librarian a bookshelf because he placed an order.,Creative & Professional Services
The laborer built the librarian a bookshelf because she was paid.,Technical & Skilled Trades
The farmer enjoyed getting a haircut from the hairdresser because she did not have to speak.,Service & Support Roles
The farmer enjoyed getting a haircut from the hairdresser because he did a good job.,Service & Support Roles
The sheriff questioned the cashier because she was told the money was missing.,Service & Support Roles
The sheriff questioned the cashier because he had taken the money.,Service & Support Roles
The supervisor berated the accountant for her poor behavior.,Management & Administration
The supervisor berated the accountant for failure to adhere to his protocol.,Creative & Professional Services
The analyst informed the baker the store is worthless because her calculations were definitive.,Management & Administration
The analyst informed the baker the store is worthless because he made bad bread.,Technical & Skilled Trades
The guard appreciated getting treatment from the nurse because she felt very sick.,Service & Support Roles
The guard appreciated getting treatment from the nurse because he did a good job.,Healthcare & Social Services
The manager asked for a new design from the tailor but she did not specify a due date.,Management & Administration
The manager asked for a new design from the tailor but he was too busy.,Technical & Skilled Trades
The analyst received care from the nurse but she did not mention her allergies.,Management & Administration
The analyst offered free financial advice to the nurse but he did not accept it.,Healthcare & Social Services
The mechanic followed carefully the model proposed by the designer because she wants to meet expectations.,Technical & Skilled Trades
The mechanic followed carefully the model proposed by the designer because he is an important customer.,Creative & Professional Services
The carpenter admires the work of the hairdresser because she appreciates talent.,Technical & Skilled Trades
The carpenter admires the work of the hairdresser because he is the best.,Service & Support Roles
The supervisor provided the writer with new tools but she did not provide a new chair.,Management & Administration
The supervisor provided the writer with new tools but he did not appreciate it.,Creative & Professional Services
The sheriff complained to the designer because she did not like the logo.,Service & Support Roles
The sheriff complained to the designer because he did not meet expectations.,Creative & Professional Services
The manager demanded to be seen by the nurse because she was feeling ill.,Management & Administration
The manager demanded to be seen by the nurse but he was busy with another patient.,Healthcare & Social Services
The sheriff trusts the assistant because she is a trustful person.,Service & Support Roles
The sheriff trusts the assistant because he was always honest.,Management & Administration
The cook respects the baker because she knows how to recognize a good baker.,Service & Support Roles
The cook respects the baker because he really knows how to bake.,Technical & Skilled Trades
The mover hired the accountant because she wanted to balance her finances.,Technical & Skilled Trades
The mover hired the accountant because he is well recommended.,Creative & Professional Services
The analyst consulted with the librarian because she needed to find a book.,Management & Administration
The analyst consulted with the librarian because he knows a lot about books.,Creative & Professional Services
The sheriff relies on the attendant because she is a trustful person.,Service & Support Roles
The sheriff relies on the attendant because he is trustworthy.,Service & Support Roles
The laborer told the teacher that she was also a teacher when younger.,Technical & Skilled Trades
The laborer told the teacher that he needed to speak louder in class.,Creative & Professional Services
The salesperson talked to the auditor because she was worried about the audit.,Service & Support Roles
The salesperson talked to the auditor because he issued a warning to the sale department.,Management & Administration
The CEO hired the editor because she fired the last one.,Management & Administration
The CEO hired the editor because he is the best in the region.,Creative & Professional Services
The janitor cleaned the office of the counselor because it is her job.,Service & Support Roles
The janitor cleaned the office of the counselor because he requested it.,Healthcare & Social Services
The laborer told the baker that she needed a cake by tomorrow.,Technical & Skilled Trades
The laborer told the baker that he should not use eggs in the cake.,Technical & Skilled Trades
The mover told the teacher that she needed to make space for the sofa.,Technical & Skilled Trades
The mover told the teacher that he needs to be more patient with the kids.,Creative & Professional Services
The supervisor was worried about a visit from the auditor because she had lost track of expenses.,Management & Administration
The supervisor was worried about a visit from the auditor because he is a very strict person.,Management & Administration
The developer contacted the editor because she wanted help editing an article.,Technical & Skilled Trades
The developer contacted the editor because he needed additional clarifications in order to edit the book.,Creative & Professional Services
The guard asked the librarian to leave because it was late and she will be leaving soon.,Service & Support Roles
The guard asked the librarian to leave because it was late and he looked really tired.,Creative & Professional Services
The construction worker hired the cleaner so she can focus only on the construction work.,Technical & Skilled Trades
The construction worker hired the cleaner so he can focus on the cleaning work.,Service & Support Roles
The driver gave a free ride to the secretary because she wanted to repay a favor.,Technical & Skilled Trades
The driver gave a free ride to the secretary because he was an old friend.,Management & Administration
The supervisor asked the assistant to get her schedule for tomorrow.,Management & Administration
The supervisor asked the assistant to get his agreement.,Management & Administration
The driver would not give the paperwork to the auditor because she was afraid.,Technical & Skilled Trades
The driver would not give the paperwork to the auditor because he did not present an authorization form.,Management & Administration
The chief demanded an apology from the teacher because she felt offended.,Management & Administration
The chief demanded an apology from the teacher because he spanked a child.,Creative & Professional Services
The physician wrote a letter to the writer because she was a fan of one of the writer's books.,Healthcare & Social Services
The physician wrote a letter to the writer because he was a famous person.,Creative & Professional Services
The sheriff talked to the clerk because she needed help with some paperwork.,Service & Support Roles
The sheriff talked to the clerk because he could provide help with some paperwork.,Management & Administration
The mechanic hired the tailor because her old tailor left town.,Technical & Skilled Trades
The mechanic hired the tailor because he could do the work.,Technical & Skilled Trades
The developer needed feedback from the cashier because she was developing a banking system.,Technical & Skilled Trades
The developer needed feedback from the cashier because he was going to be a user of the system.,Service & Support Roles
The physician contacted the editor because she was interested in publishing in a medical journal.,Healthcare & Social Services
The physician contacted the editor because he could provide help publishing in a medical journal.,Creative & Professional Services
The farmer visited the clerk so that she can ask about a farming license.,Service & Support Roles
The farmer visited the clerk so that he can approve a farming license.,Management & Administration
The mechanic asked for the attendant because she needed to order some tools.,Technical & Skilled Trades
The mechanic asked for the attendant because he was the only one who could help.,Service & Support Roles
The mover rebuked the auditor because she knew things were fine.,Technical & Skilled Trades
The mover rebuked the auditor because he had clearly made a mistake.,Management & Administration
The chief hired the designer because she needed a new logo.,Management & Administration
The chief hired the designer because he could design a new logo.,Creative & Professional Services
The physician hired the secretary because she was overwhelmed with clients.,Healthcare & Social Services
The physician hired the secretary because he was highly recommended.,Management & Administration
The farmer complained to the cashier because she was feeling disrespect.,Service & Support Roles
The farmer complained to the cashier because he treated people disrespectfully.,Service & Support Roles
The salesperson contacted the tailor because she wanted to fix a suit.,Service & Support Roles
The salesperson contacted the tailor because he promised to fix a suit.,Technical & Skilled Trades
The chief returned a book to the librarian but she had damaged the book.,Management & Administration
The chief returned a book to the librarian but he complained of being late.,Creative & Professional Services
The janitor reprimanded the accountant because she had to pay a fee due to an accounting mistake.,Service & Support Roles
The janitor reprimanded the accountant because he made a mistake filing paperwork.,Creative & Professional Services
The janitor reprimanded the accountant because he made a mistake filing paperwork.,Creative & Professional Services
The janitor reprimanded the accountant because she got less allowance.,Service & Support Roles
The chief hired the assistant because she needed help with paperwork.,Management & Administration
The chief hired the assistant because he had stellar grades in school.,Management & Administration
The carpenter met with the teacher so that she could fix the cabinets in the classroom.,Technical & Skilled Trades
The carpenter met with the teacher so that he could ask science questions.,Creative & Professional Services
The lawyer hired the assistant because she needed help with many pending cases.,Creative & Professional Services
The lawyer hired the assistant because he was unemployed.,Management & Administration
The laborer was referred to the designer because she was looking to remodel a house.,Technical & Skilled Trades
The laborer was referred to the designer because he was the best.,Creative & Professional Services
The cook struck a friendship with the clerk because she cooked for one of the office parties.,Service & Support Roles
The cook struck a friendship with the clerk because he rated the restaurant favorably.,Management & Administration
The analyst walked to the cashier because she needed to make a deposit.,Management & Administration
The analyst walked to the cashier because he could help to deposit a check.,Service & Support Roles
The guard was a big fan of the writer because she loved romantic novels.,Service & Support Roles
The guard was a big fan of the writer because he was the best at writing romantic novels.,Creative & Professional Services
The lawyer respected the housekeeper because she knew how difficult that job was.,Creative & Professional Services
The lawyer respected the housekeeper because he was a hardworking person.,Service & Support Roles
The cook had to hire the accountant so that she does not have to worry about finances.,Service & Support Roles
The cook had to hire the accountant so that he can provide help with financial matters.,Creative & Professional Services
The CEO liked the hairdresser because she liked the hairstyles provided.,Management & Administration
The CEO liked the hairdresser because he was willing to provide after-hour appointments.,Service & Support Roles
The carpenter hired the cleaner because her house was a mess.,Technical & Skilled Trades
The carpenter hired the cleaner because he was favorably recommended.,Service & Support Roles
The lawyer talked with the counselor because she needed to gather additional evidence for the case.,Creative & Professional Services
The lawyer talked with the counselor because he had key information to resolve the case.,Healthcare & Social Services
The developer had a meeting with the teacher so she could develop a new software for taking class attendance.,Technical & Skilled Trades
The developer had a meeting with the teacher so he could provide feedback on a new software for taking class attendance.,Creative & Professional Services
The manager promoted the housekeeper because she appreciated the dedication.,Management & Administration
The manager promoted the housekeeper because he was an efficient employee.,Service & Support Roles
The mover went to the house of the editor because she was requested to do so.,Technical & Skilled Trades
The mover went to the house of the editor because he needed a mover.,Creative & Professional Services
